YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2021 01 04 11 00   2  9.4 10.8 99.00 99.00 99.00 999 1012.8 999.0 999.0 999.0 99.0 99.00
2021 01 04 12 00 351 10.7 11.5 99.00 99.00 99.00 999 1013.4 999.0 999.0 999.0 99.0 99.00
2021 01 04 13 00 357 10.3 11.4 99.00 99.00 99.00 999 1013.9 999.0 999.0 999.0 99.0 99.00
2021 01 04 14 00   4 10.4 11.5 99.00 99.00 99.00 999 1014.0 999.0 999.0 999.0 99.0 99.00
2021 01 04 15 00   3 10.6 12.5 99.00 99.00 99.00 999 1014.0 999.0 999.0 999.0 99.0 99.00
2021 01 04 16 00 354 10.2 11.3 99.00 99.00 99.00 999 1013.7 999.0 999.0 999.0 99.0 99.00
2021 01 04 17 00   3 10.7 11.9 99.00 99.00 99.00 999 1012.6 999.0 999.0 999.0 99.0 99.00
2021 01 04 18 00 358 11.8 12.8 99.00 99.00 99.00 999 1012.3 999.0 999.0 999.0 99.0 99.00
2021 01 04 19 00   3 11.1 12.7 99.00 99.00 99.00 999 1012.1 999.0 999.0 999.0 99.0 99.00
2021 01 04 20 00   1 11.6 14.7 99.00 99.00 99.00 999 1012.5 999.0 999.0 999.0 99.0 99.00
2021 01 04 21 00   4 10.7 12.6 99.00 99.00 99.00 999 1013.0 999.0 999.0 999.0 99.0 99.00
2021 01 04 22 00   7  9.1 10.2 99.00 99.00 99.00 999 1013.7 999.0 999.0 999.0 99.0 99.00
2021 01 04 23 00  16  8.7 10.2 99.00 99.00 99.00 999 1013.7 999.0 999.0 999.0 99.0 99.00
2021 01 05 00 00   6  9.4 10.1 99.00 99.00 99.00 999 1013.7 999.0 999.0 999.0 99.0 99.00
2021 01 05 01 00   0  8.0  9.1 99.00 99.00 99.00 999 1013.6 999.0 999.0 999.0 99.0 99.00
2021 01 05 02 00 351  8.6  9.7 99.00 99.00 99.00 999 1013.3 999.0 999.0 999.0 99.0 99.00
2021 01 05 03 00 351  7.8  8.9 99.00 99.00 99.00 999 1013.8 999.0 999.0 999.0 99.0 99.00
2021 01 05 04 00 342  8.6  9.6 99.00 99.00 99.00 999 1013.5 999.0 999.0 999.0 99.0 99.00
2021 01 05 05 00 345  9.8 10.7 99.00 99.00 99.00 999 1012.6 999.0 999.0 999.0 99.0 99.00
2021 01 05 06 00 347  8.6 10.0 99.00 99.00 99.00 999 1012.5 999.0 999.0 999.0 99.0 99.00
2021 01 05 07 00 353  9.7 10.7 99.00 99.00 99.00 999 1012.5 999.0 999.0 999.0 99.0 99.00
2021 01 05 08 00   3  9.1  9.9 99.00 99.00 99.00 999 1012.4 999.0 999.0 999.0 99.0 99.00
2021 01 05 09 00 359  9.2 10.2 99.00 99.00 99.00 999 1012.3 999.0 999.0 999.0 99.0 99.00
2021 01 05 10 00 356  9.0 10.3 99.00 99.00 99.00 999 1012.6 999.0 999.0 999.0 99.0 99.00
2021 01 05 11 00 356  8.4  8.8 99.00 99.00 99.00 999 1012.8 999.0 999.0 999.0 99.0 99.00
2021 01 05 12 00 350  8.6  9.5 99.00 99.00 99.00 999 1012.9 999.0 999.0 999.0 99.0 99.00
2021 01 05 13 00 358  9.5 10.5 99.00 99.00 99.00 999 1013.2 999.0 999.0 999.0 99.0 99.00
2021 01 05 14 00 357  8.8  9.9 99.00 99.00 99.00 999 1013.3 999.0 999.0 999.0 99.0 99.00
2021 01 05 15 00 359  6.6  7.5 99.00 99.00 99.00 999 1013.0 999.0 999.0 999.0 99.0 99.00
2021 01 05 16 00   1  7.8  8.6 99.00 99.00 99.00 999 1011.8 999.0 999.0 999.0 99.0 99.00
2021 01 05 17 00   1  9.8 10.7 99.00 99.00 99.00 999 1011.0 999.0 999.0 999.0 99.0 99.00
2021 01 05 18 00 359  9.4 10.2 99.00 99.00 99.00 999 1010.6 999.0 999.0 999.0 99.0 99.00
2021 01 05 19 00   1  9.7 10.7 99.00 99.00 99.00 999 1010.7 999.0 999.0 999.0 99.0 99.00
2021 01 05 20 00   1 10.3 11.0 99.00 99.00 99.00 999 1011.1 999.0 999.0 999.0 99.0 99.00
2021 01 05 21 00 355 10.7 11.7 99.00 99.00 99.00 999 1011.8 999.0 999.0 999.0 99.0 99.00
2021 01 05 22 00 354  9.6 10.4 99.00 99.00 99.00 999 1012.1 999.0 999.0 999.0 99.0 99.00
2021 01 05 23 00 358  9.6 11.7 99.00 99.00 99.00 999 1012.2 999.0 999.0 999.0 99.0 99.00
2021 01 06 00 00 358 10.6 11.7 99.00 99.00 99.00 999 1012.2 999.0 999.0 999.0 99.0 99.00
2021 01 06 01 00 358  8.2  9.2 99.00 99.00 99.00 999 1012.4 999.0 999.0 999.0 99.0 99.00
2021 01 06 02 00 356  9.0  9.9 99.00 99.00 99.00 999 1012.2 999.0 999.0 999.0 99.0 99.00
2021 01 06 03 00 356  9.0 10.0 99.00 99.00 99.00 999 1011.9 999.0 999.0 999.0 99.0 99.00
2021 01 06 04 00 351  8.7  9.6 99.00 99.00 99.00 999 1011.6 999.0 999.0 999.0 99.0 99.00
2021 01 06 05 00 333  8.9  9.7 99.00 99.00 99.00 999 1011.9 999.0 999.0 999.0 99.0 99.00
2021 01 06 06 00 338  8.4  9.3 99.00 99.00 99.00 999 1011.5 999.0 999.0 999.0 99.0 99.00
