YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
87 01 08 02 280 17.0 19.1 99.00 99.00 99.00 999 1004.4  05.4 999.0 999.0 99.0
87 01 08 03 280 16.5 17.5 99.00 99.00 99.00 999 1005.2  04.3 999.0 999.0 99.0
87 01 08 04 280 13.9 15.5 99.00 99.00 99.00 999 1005.6  03.7 999.0 999.0 99.0
87 01 08 05 290 12.4 13.9 99.00 99.00 99.00 999 1006.1  03.2 999.0 999.0 99.0
87 01 08 06 280 12.4 13.4 99.00 99.00 99.00 999 1006.5  02.8 999.0 999.0 99.0
87 01 08 07 290 13.9 17.0 99.00 99.00 99.00 999 1007.2  02.5 999.0 999.0 99.0
87 01 08 08 290 13.4 14.4 99.00 99.00 99.00 999 1007.7  01.9 999.0 999.0 99.0
87 01 08 09 290 10.8 11.9 99.00 99.00 99.00 999 1008.5  01.4 999.0 999.0 99.0
87 01 08 10 290 12.9 14.4 99.00 99.00 99.00 999 1009.7  00.8 999.0 999.0 99.0
87 01 08 11 280 14.4 16.0 99.00 99.00 99.00 999 1011.0  00.0 999.0 999.0 99.0
87 01 08 12 280 12.4 14.9 99.00 99.00 99.00 999 1011.7 -00.4 999.0 999.0 99.0
87 01 08 13 290 11.9 15.5 99.00 99.00 99.00 999 1012.3 -00.4 999.0 999.0 99.0
87 01 08 14 300 11.3 12.9 99.00 99.00 99.00 999 1013.1 -00.2 999.0 999.0 99.0
87 01 08 15 300 11.3 12.9 99.00 99.00 99.00 999 1013.0  00.0 999.0 999.0 99.0
87 01 08 16 310 12.4 13.4 99.00 99.00 99.00 999 1012.6  00.5 999.0 999.0 99.0
87 01 08 17 290 09.3 10.8 99.00 99.00 99.00 999 1012.1  00.7 999.0 999.0 99.0
87 01 08 18 290 10.3 11.9 99.00 99.00 99.00 999 1011.7  00.8 999.0 999.0 99.0
87 01 08 19 290 09.8 10.8 99.00 99.00 99.00 999 1011.7  01.3 999.0 999.0 99.0
87 01 08 20 290 08.3 09.3 99.00 99.00 99.00 999 1012.5  01.5 999.0 999.0 99.0
87 01 08 21 290 10.3 12.4 99.00 99.00 99.00 999 1013.0  01.5 999.0 999.0 99.0
87 01 08 22 290 09.3 10.8 99.00 99.00 99.00 999 1013.5  00.7 999.0 999.0 99.0
87 01 08 23 290 09.8 11.3 99.00 99.00 99.00 999 1014.1  00.0 999.0 999.0 99.0
87 01 09 00 300 11.9 12.9 99.00 99.00 99.00 999 1014.8 -00.2 999.0 999.0 99.0
87 01 09 01 290 09.8 11.3 99.00 99.00 99.00 999 1015.0 -00.6 999.0 999.0 99.0
87 01 09 02 300 08.8 09.8 99.00 99.00 99.00 999 1015.1 -01.0 999.0 999.0 99.0
87 01 09 03 300 09.3 11.3 99.00 99.00 99.00 999 1015.5 -01.3 999.0 999.0 99.0
87 01 09 04 300 09.3 10.8 99.00 99.00 99.00 999 1015.5 -01.5 999.0 999.0 99.0
87 01 09 05 290 09.3 10.8 99.00 99.00 99.00 999 1015.3 -01.5 999.0 999.0 99.0
87 01 09 06 290 10.3 11.9 99.00 99.00 99.00 999 1015.5 -01.2 999.0 999.0 99.0
87 01 09 07 280 10.3 11.9 99.00 99.00 99.00 999 1015.9 -01.0 999.0 999.0 99.0
87 01 09 08 280 11.9 12.9 99.00 99.00 99.00 999 1016.0 -00.7 999.0 999.0 99.0
87 01 09 09 270 12.4 13.9 99.00 99.00 99.00 999 1016.2 -00.2 999.0 999.0 99.0
87 01 09 10 270 12.9 14.4 99.00 99.00 99.00 999 1016.5  00.0 999.0 999.0 99.0
87 01 09 11 270 12.4 13.4 99.00 99.00 99.00 999 1017.0  00.3 999.0 999.0 99.0
87 01 09 12 280 11.3 12.4 99.00 99.00 99.00 999 1017.3  00.3 999.0 999.0 99.0
87 01 09 13 280 09.3 09.8 99.00 99.00 99.00 999 1018.1  00.3 999.0 999.0 99.0
87 01 09 14 280 09.8 10.8 99.00 99.00 99.00 999 1018.6  00.2 999.0 999.0 99.0
87 01 09 15 270 07.7 08.3 99.00 99.00 99.00 999 1018.9  00.7 999.0 999.0 99.0
87 01 09 16 270 07.2 07.7 99.00 99.00 99.00 999 1018.7  01.5 999.0 999.0 99.0
87 01 09 17 270 08.3 09.3 99.00 99.00 99.00 999 1018.8  02.7 999.0 999.0 99.0
87 01 09 18 290 06.2 07.2 99.00 99.00 99.00 999 1019.1  04.6 999.0 999.0 99.0
87 01 09 19 290 02.1 02.6 99.00 99.00 99.00 999 1018.8  05.9 999.0 999.0 99.0
87 01 09 20 310 04.1 04.6 99.00 99.00 99.00 999 1019.0  06.3 999.0 999.0 99.0
87 01 09 21 340 04.1 04.1 99.00 99.00 99.00 999 1019.9  04.7 999.0 999.0 99.0
87 01 09 22 330 03.1 03.1 99.00 99.00 99.00 999 1021.0  03.7 999.0 999.0 99.0
87 01 09 23 000 01.5 02.1 99.00 99.00 99.00 999 1021.6  03.1 999.0 999.0 99.0
87 01 10 00 010 02.6 02.6 99.00 99.00 99.00 999 1022.0  02.9 999.0 999.0 99.0
87 01 10 01 050 01.0 01.0 99.00 99.00 99.00 999 1022.3  02.7 999.0 999.0 99.0
87 01 10 02 000 00.0 00.0 99.00 99.00 99.00 999 1022.8  02.9 999.0 999.0 99.0
87 01 10 03 100 01.5 01.5 99.00 99.00 99.00 999 1022.6  03.1 999.0 999.0 99.0
87 01 10 04 100 02.6 02.6 99.00 99.00 99.00 999 1022.9  03.4 999.0 999.0 99.0
87 01 10 05 100 03.1 03.6 99.00 99.00 99.00 999 1022.3  03.3 999.0 999.0 99.0
87 01 10 06 120 03.6 03.6 99.00 99.00 99.00 999 1022.2  03.3 999.0 999.0 99.0
87 01 10 07 120 03.1 03.6 99.00 99.00 99.00 999 1022.7  03.5 999.0 999.0 99.0
87 01 10 08 110 03.6 03.6 99.00 99.00 99.00 999 1022.7  03.5 999.0 999.0 99.0
87 01 10 09 150 03.1 03.6 99.00 99.00 99.00 999 1022.0  04.0 999.0 999.0 99.0
87 01 10 10 160 01.5 02.1 99.00 99.00 99.00 999 1021.8  04.2 999.0 999.0 99.0
87 01 10 11 120 06.7 07.2 99.00 99.00 99.00 999 1020.3  04.2 999.0 999.0 99.0
87 01 10 12 120 07.2 07.7 99.00 99.00 99.00 999 1020.0  04.3 999.0 999.0 99.0
87 01 10 13 120 06.7 07.2 99.00 99.00 99.00 999 1020.3  04.6 999.0 999.0 99.0
87 01 10 14 110 07.7 08.8 99.00 99.00 99.00 999 1019.0  04.6 999.0 999.0 99.0
